项目,列2,2019
,第六节股份变动及股东,情况
一、股份变动情况,,
1、股份变动情况,,
,,单位：股
本次变,动前 本次变动增减,（＋，－） 本次变动后
数量,公积,他 小计 数量 比例
,发行 送,
,比例 其,
"、有限售条件股份 237,617,7",金转,"70,427 -3,370,427 234,247,290 29.31"
"、有限售条件股份 237,617,7",新股 股,"70,427 -3,370,427 234,247,290 29.31"
"、有限售条件股份 237,617,7",股,"70,427 -3,370,427 234,247,290 29.31"
"、有限售条件股份 237,617,7","17 29.35% -3,3","70,427 -3,370,427 234,247,290 29.31"
"、其他内资持股 237,617,7","17 29.35% -3,3","70,427 -3,370,427 234,247,290 29.31"
境内自然人,"17 29.35% -3,3","70,427 -3,370,427 234,247,290 29.31"
"237,617,7","17 29.35% -3,3","70,427 -3,370,427 234,247,290 29.31"
股,"00 70.65% -7,0","36,064 -7,036,064 565,010,936 70.69"
"、无限售条件股份 572,047,0",,
"、人民币普通股 572,047,0","00 70.65% -7,0","36,064 -7,036,064 565,010,936 70.69"
"、股份总数 809,664,7","17 100.00% -10,4","06,491 -10,406,491 799,258,226 100.00"
股份变动的原因,,
√ 适用 □ 不适用,,
（1）2019年4月8日，,公司第六届董事会第二十六次,会议审议通过了《关于回购注销部
分已不符合激励条件的激励,对象已获授但尚未解锁的限,制性股票的议案》，对公司2016年
限制性股票激励计划中因,已不符合激励条件的部分激,励对象已获授但尚未解除限售的
"258,900股限制性股票进行",回购注销。,
（2）2019年10月21日,，公司召开了第七届董事会第,四次会议审议通过了《关于回购注
销公司2016年限制性股票激,励计划首次授予部分激励对,象已获授但未达到第三个解除限售
期解除限售条件及预留授予,部分激励对象已获授但未达,到第二个解除限售期解除限售条件
的限制性股票的议案》，对,公司2016年限制性股票激励,计划中首次授予部分激励对象已获
授但未达到第三个解除限售,期解除限售条件及预留授予,部分激励对象已获授但未达到第二
个解除限售期解除限售条件,"的限制性股票2,557,380股进",行回购注销。
（3）公司于2018年11,月1日披露了《关于以集中竞价,交易方式回购公司股份的预案》；
2018年11月29日，公司首次,通过股票回购专用证券账户,以集中竞价交易方式回购股份；截
至2019年3月31日，公司累,"计回购股份数量为7,590,211","股，成交总金额为50,291,290.08"
元（不含交易费用），公司,已按披露的回购方案完成回,购，本次回购股份方案实施完毕；
